NocCode,Occupation,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024
1312,"Insurance adjusters and claims examiners; Insurance underwriters; Assessors, valuators and appraisers & Customs, ship and other brokers",56500,56600,57200,57600,58100,58300,58700,59000,59400,59800,60200
1411,General office support workers,243600,248000,245500,243400,241800,239700,237600,235800,234400,233300,232300
1414,Receptionists,181100,182600,183800,185100,186600,187600,188500,189400,190500,191700,192900
1415,Personnel  and Court clerks,11400,11500,11600,11700,11800,11800,11900,11900,12000,12000,12100
1422,Data entry clerks & Desktop publishing operators and related occupations,46000,45800,45500,45200,44900,44600,44300,44000,43700,43500,43400
1431,Accounting and related clerks,161600,162300,162200,162100,162000,161500,160700,160000,159400,158800,158200
1432,Payroll clerks,51200,51100,51600,52200,52800,53200,53500,53900,54300,54700,55000
1434,"Banking, insurance and other financial clerks & Collectors",52100,52200,52100,52100,52200,52100,52000,51900,51800,51800,51800
1450,"Library, correspondence and other clerks",65900,67400,67100,67000,67000,66800,66600,66500,66500,66500,66600
1511,"Mail, postal and related workers",31200,31300,31100,30900,30700,30500,30200,30000,29800,29700,29500
1512,Letter carriers,29600,29900,29900,30000,30200,30200,30300,30300,30400,30600,30700
1513,"Couriers, messengers and door-to-door distributors",35700,35900,36000,36100,36200,36200,36200,36200,36200,36300,36400
1521,Shippers and receivers,118300,118400,118600,118900,119200,119300,119300,119300,119400,119600,119800
1522,Storekeepers and partspersons; Production logistics co-ordinators & Purchasing and inventory control workers,84100,84200,84900,85600,86300,86800,87100,87500,88000,88600,89100
1525,Dispatchers & Transportation route and crew schedulers,40200,40300,40400,40600,40900,41000,41100,41300,41500,41700,42000
2110,Physical science professionals,31900,32200,32800,33200,33600,33900,34100,34200,34500,34700,34900
2120,Life science professionals,30500,30900,31400,31900,32400,32800,33200,33500,33800,34200,34500
2131,Civil engineers,44400,44900,45500,46200,46800,47400,47900,48400,48900,49400,50000
2132,Mechanical engineers,37400,37900,38500,38900,39400,39800,40100,40400,40800,41100,41400
2133,Electrical and electronics engineers,35300,35700,35600,35700,35700,35700,35700,35700,35800,35900,36000
2134,Chemical engineers,10200,10300,10500,10700,10900,11100,11200,11400,11500,11700,11800
2141,Industrial and manufacturing engineers & Metallurgical and materials engineers,13900,14000,14200,14500,14700,14800,15000,15200,15300,15500,15600
2143,Mining engineers; Geological engineers & Petroleum engineers,19500,19400,19700,20100,20300,20600,20800,21000,21100,21300,21500
2146,"Aerospace engineers & Other professional engineers, n.e.c.",39200,39700,40300,40900,41400,41900,42300,42600,43000,43400,43800
2147,Computer engineers (except software engineers and designers),22600,23000,23500,24000,24500,25000,25400,25900,26400,26900,27300
2151,Architects,17200,17200,17400,17700,17900,18100,18400,18600,18800,19000,19300
2152,Landscape architects; Urban and land use planners & Land surveyors,20600,20800,21000,21200,21400,21600,21700,21800,22000,22100,22300
2161,"Mathematicians, statisticians and actuaries",12600,12700,12900,13100,13200,13300,13400,13500,13600,13800,13900
