NocCode,Occupation,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024
9410,machine operators and related workers in mineral and metal products pr,1700,1800,2000,2100,2200,2300,2400,2500,2500,2500,2500
9420,"machine operators and related workers in chemical, plastic and rubber",700,700,800,800,900,1000,1000,1000,1100,1100,1100
9431,Sawmill machine operators; Other wood processing machine operators; Lumber graders and other wood processing inspectors and graders & Woodworking machine operators,500,500,500,600,600,600,600,700,700,700,700
9432,Pulp mill machine operators; Papermaking and finishing machine operators& Paper converting machine operators,400,400,400,500,500,500,500,500,500,500,500
9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers; Weavers, knitters and other fabric making occupations; Fabric, fur and leather cutters & Inspectors and graders, textile, fabric, fur and leather products manufacturing",400,400,400,400,400,400,400,400,400,400,400
9446,Industrial sewing machine operators,700,800,800,800,800,800,800,800,800,800,800
9461,"Process control and machine operators, food, beverage and related products processing; Fish and seafood plant workers & Testers and graders, food, beverage and related products processing",1200,1200,1300,1300,1300,1400,1400,1400,1400,1400,1400
9462,"Industrial butchers and meat cutters, poultry preparers and related workers",400,400,400,500,500,500,500,500,500,500,500
9470,Printing equipment operators and related occupations,400,400,400,500,500,500,500,500,500,500,500
9521,"Aircraft assemblers and aircraft assembly inspectors; Motor vehicle assemblers, inspectors and testers & Mechanical assemblers and inspectors",900,900,900,1000,1100,1100,1200,1200,1300,1300,1400
9523,"Electronics assemblers, fabricators, inspectors and testers",300,300,400,400,400,500,500,500,500,500,500
9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing & Assemblers, fabricators and inspectors, industrial electrical motors and transformers",300,300,300,400,400,400,400,400,500,500,500
9531,"Boat assemblers and inspectors; Plastic products assemblers, finishers and inspectors; Industrial painters, coaters and metal finishing process operators& Other products assemblers, finishers and inspectors",1300,1300,1400,1400,1500,1500,1600,1600,1700,1700,1700
9532,Furniture and fixture assemblers and inspectors;  Other wood products assemblers and inspectors & Furniture finishers and refinishers,800,800,900,900,1000,1000,1000,1100,1100,1100,1100
9611,Labourers in mineral and metal processing & Labourers in metal fabrication,600,700,700,700,700,700,800,800,800,800,800
9613,Labourers in chemical products processing and utilities & Labourers in rubber and plastic products manufacturing,400,400,400,400,400,400,400,400,400,400,400
9614,"Labourers in wood, pulp and paper processing",400,500,500,500,500,500,500,500,500,500,500
9616,"Labourers in textile processing & Other labourers in processing, manufacturing and utilities",900,900,1000,1000,1000,1000,1000,1000,1000,1000,1000
9617,"Labourers in food, beverage and related products processing & Labourers in fish and seafood processing",1100,1200,1200,1200,1200,1200,1300,1200,1300,1300,1200
