Title,NOC4,Statistics,Average
Firefighters [4312] ,4312,Average offered hourly wage (dollars) (5),25.925
"Agricultural representatives, consultants and specialists [2123] ",2123,Average offered hourly wage (dollars) (5),26.01666667
Crane operators [7371] ,7371,Average offered hourly wage (dollars) (5),26.13333333
Authors and writers [5121] ,5121,Average offered hourly wage (dollars) (5),26.175
Insulators [7293] ,7293,Average offered hourly wage (dollars) (5),26.2
Graphic arts technicians [5223] ,5223,Average offered hourly wage (dollars) (5),26.275
Construction millwrights and industrial mechanics [7311] ,7311,Average offered hourly wage (dollars) (5),26.2875
Mechanical engineering technologists and technicians [2232] ,2232,Average offered hourly wage (dollars) (5),26.4875
Insurance adjusters and claims examiners [1312] ,1312,Average offered hourly wage (dollars) (5),26.5375
Underground production and development miners [8231] ,8231,Average offered hourly wage (dollars) (5),26.65
Broadcast technicians [5224] ,5224,Average offered hourly wage (dollars) (5),26.675
Gas fitters [7253] ,7253,Average offered hourly wage (dollars) (5),26.8375
Underground mine service and support workers [8411] ,8411,Average offered hourly wage (dollars) (5),26.925
Other financial officers [1114] ,1114,Average offered hourly wage (dollars) (5),26.925
Heavy-duty equipment mechanics [7312] ,7312,Average offered hourly wage (dollars) (5),26.9375
"Recreation, sports and fitness program and service directors [0513] ",513,Average offered hourly wage (dollars) (5),26.9875
Health information management occupations [1252] ,1252,Average offered hourly wage (dollars) (5),27.1
"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists [3214] ",3214,Average offered hourly wage (dollars) (5),27.1125
Geological and mineral technologists and technicians [2212] ,2212,Average offered hourly wage (dollars) (5),27.15
Property administrators [1224] ,1224,Average offered hourly wage (dollars) (5),27.15
"Contractors and supervisors, carpentry trades [7204] ",7204,Average offered hourly wage (dollars) (5),27.1625
"Assessors, valuators and appraisers [1314] ",1314,Average offered hourly wage (dollars) (5),27.175
"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations [7201] ",7201,Average offered hourly wage (dollars) (5),27.2
"Cardiology technologists and electrophysiological diagnostic technologists, not elsewhere classified (n.e.c.) [3217] ",3217,Average offered hourly wage (dollars) (5),27.2
Computer network technicians [2281] ,2281,Average offered hourly wage (dollars) (5),27.2625
"Supervisors, other mechanical and metal products manufacturing [9226] ",9226,Average offered hourly wage (dollars) (5),27.275
"Oil and gas well drillers, servicers, testers and related workers [8232] ",8232,Average offered hourly wage (dollars) (5),27.35
Logging machinery operators [8241] ,8241,Average offered hourly wage (dollars) (5),27.46666667
Social workers [4152] ,4152,Average offered hourly wage (dollars) (5),27.4875
"Contractors and supervisors, pipefitting trades [7203] ",7203,Average offered hourly wage (dollars) (5),27.525
